instance_type,time_stump,region,zone,price
m5.2xlarge,2019-12-01 23:07,ap-northeast-1,ap-northeast-1c,0.147300
m3.large,2019-12-01 22:25,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-12-01 16:42,ap-northeast-1,ap-northeast-1c,0.071200
m5.2xlarge,2019-12-01 15:35,ap-northeast-1,ap-northeast-1c,0.147700
m5.2xlarge,2019-12-01 13:42,ap-northeast-1,ap-northeast-1c,0.148100
r3.xlarge,2019-12-01 13:30,ap-northeast-1,ap-northeast-1c,0.069000
m5.xlarge,2019-12-01 12:40,ap-northeast-1,ap-northeast-1c,0.071200
m5.2xlarge,2019-12-01 08:46,ap-northeast-1,ap-northeast-1c,0.148100
r3.xlarge,2019-12-01 08:29,ap-northeast-1,ap-northeast-1c,0.069100
m5.xlarge,2019-12-01 05:17,ap-northeast-1,ap-northeast-1c,0.071300
m5.large,2019-12-01 04:39,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-12-01 03:03,ap-northeast-1,ap-northeast-1c,0.148300
r5d.xlarge,2019-12-01 00:43,ap-northeast-1,ap-northeast-1c,0.073200
m3.large,2019-11-30 22:24,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-30 21:29,ap-northeast-1,ap-northeast-1c,0.148800
m5.xlarge,2019-11-30 17:43,ap-northeast-1,ap-northeast-1c,0.071400
r3.xlarge,2019-11-30 13:40,ap-northeast-1,ap-northeast-1c,0.069200
m5.large,2019-11-30 04:38,ap-northeast-1,ap-northeast-1c,0.035100
r5d.xlarge,2019-11-30 00:43,ap-northeast-1,ap-northeast-1c,0.073200
m3.large,2019-11-30 22:24,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-30 21:29,ap-northeast-1,ap-northeast-1c,0.148800
m5.xlarge,2019-11-30 17:43,ap-northeast-1,ap-northeast-1c,0.071400
r3.xlarge,2019-11-30 13:40,ap-northeast-1,ap-northeast-1c,0.069200
m5.2xlarge,2019-11-30 08:31,ap-northeast-1,ap-northeast-1c,0.149200
m5.large,2019-11-30 04:38,ap-northeast-1,ap-northeast-1c,0.035100
m5.xlarge,2019-11-30 04:12,ap-northeast-1,ap-northeast-1c,0.071500
r3.xlarge,2019-11-30 02:34,ap-northeast-1,ap-northeast-1c,0.069300
m5.2xlarge,2019-11-30 00:59,ap-northeast-1,ap-northeast-1c,0.149500
r5d.xlarge,2019-11-30 00:43,ap-northeast-1,ap-northeast-1c,0.073200
m3.large,2019-11-29 22:23,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-29 18:59,ap-northeast-1,ap-northeast-1c,0.149700
m5.xlarge,2019-11-29 10:47,ap-northeast-1,ap-northeast-1c,0.071600
m5.large,2019-11-29 04:38,ap-northeast-1,ap-northeast-1c,0.035100
r3.xlarge,2019-11-29 02:33,ap-northeast-1,ap-northeast-1c,0.069300
r5d.xlarge,2019-11-29 00:42,ap-northeast-1,ap-northeast-1c,0.073200
m3.large,2019-11-29 22:23,ap-northeast-1,ap-northeast-1c,0.031700
m5.2xlarge,2019-11-29 18:59,ap-northeast-1,ap-northeast-1c,0.149700
m5.2xlarge,2019-11-29 12:01,ap-northeast-1,ap-northeast-1c,0.149900
m5.xlarge,2019-11-29 10:47,ap-northeast-1,ap-northeast-1c,0.071600
m5.2xlarge,2019-11-29 05:03,ap-northeast-1,ap-northeast-1c,0.150000
m5.large,2019-11-29 04:38,ap-northeast-1,ap-northeast-1c,0.035100
